subject_code,subject_name
อ21210,สัทศาสตร์
อ30208,eng นิทาน
อ20206,สื่อสาร 2
อ20202,ออกเสียง 2
อ30216,อังกฤษสร้างสรรค์
อ21209,สำหรับท่องเที่ยว
ว21218,สืบเสาะ วิทย์
ว22215,โครงงาน MEP
ว23218,พลังงานทดแทนMEP
อ20204,เพื่อสันทนาการ  2
จ30204,จีนพื้นฐาน
ง20208,งานประดิษฐ์ของชำร่วย
พ32104,บาสเกตบอล
ว30272,Internat of thing
ว20211,การออกแบบเทคโนโลยี
ว31203,การออกแบบและพัฒนาเกม
ว31103,การตัดต่อภาพยนต์
จ30206,จีนธุรกิจ
จ30205,จีนเพิ่มเติม
ชุมนุม ม.,ชุมนุมม.ปลาย
ช.ม,ชุมนุมม.ต้น
จ30208,จีนเพิ่มเติม
จ30207,ภาษาจีนพื้นฐาน 3
จ30201,จีน
จ30209,จีน
อ30211,การสื่อสารและวัฒนธรร
ส30201,มัคคุเทศก์เรียนเทียว
อ30210,การโรงแรม
อ30209,อังกฤษเข้มข้น
I30203,IS
ว32203,การสร้างแอพพลิเคชัน
ค30201,เศษฐศาสตร์วิศวะ
MA21206,Math
MA23204,Math
SC21218,sci
SC23218,sci
EN22206,Eng
EN21210,eng
อ31210,eng
EN23208,eng
EN22208,ENG
HE21102,Health Education
อ32210,อังกฤษฟัง พูด
EN21209,ENG
HE22103,Health Education
EN23206,ENG
ว32204,เครื่อข่าย
ว30273,หุ่นยนต์เบื้องต้น
I30204,โครงงานคอม 5/4
ว30251,กายวิภาค
จ21202,ภาษาจีน
จ30211,จีน
อ30213,อังกฤษเข้มข้น4
ศ30214,ศิลปะเพิ่มเติม
อ30215,อังกฤษนิทรรศการ
อ30214,Ready for take off
จ30212,การสนทนาจีนธุรกิจ4
จ30210,จีน
ห้องสมุด,ห้องสมุด
ว33201,การเขียนโปรแกรม
อ30226,ภาษาอังกฤษ-สื่อสาร
ว33202,มัลติมีเดียและอนิเมช
ท30207,เบญจภาษาศิลป์
ว30274,ความรู้เบื้องต้นวิศว
ว32205,โปรมแกรมสมมิติ
ว33203,โปรมแกรมพื้นฐาน
อ30218,ภาษาอังกฤษในเชิงธุรก
ว30230,ชีวเคมี
ค32203,คณิตศาสตร์เพิ่มเติม
จ30213,ภาษาจีนพื้นฐาน5
จ30214,ภาษาจีนเพื่องานฯ
EN22207,ภาษาอังกฤษฟังพูด
EN21203,อ่าน-เขียน
EN33209,ฟังพูด
ศ30213,ศิลปะเพิ่มเติม
MA21205,Mathematic
MA22205,Mathematic
MA23203,Mathematic
EN30204,eng
EN21101,eng
EN22205,Eng
HE23101,Health Education
ว21219,วิทย์
ว22216,วิทย์
ว23219,วิทย์
ง30223,การโนรงแรม
ค31203,คณิตศาสตร์เพิ่มเติม
อ30219,อังกฤษระดับสูง
อ30217,อังกฤษระดับสูง
ว21222,วิทย์พลังสิบ
I30213,โครงงานอาชีพ1
ว21220,วิทย์MEP
ว30252,ชีววิทยา
ค33206,คณิตศาสตร์เพิ่มเติม2
ส30203,ประเทศไทยของเรา
ค32204,คณิตศาสตร์เพิ่มเติม2
ว22217,Basic Science 4 MEP
ว23220,ฺBasic Science 6 MEP
อ33210,อังกฤษฟังพูด
อ30220,ภาษาอังกฤษเข้มข้น 6
อ30221,Fly Me to Sky
ค31204,คณิตศาสตร์เพิ่มเติม2
อ30222,อังกฤษท่องเที่ยว
อ30224,ภาษาอังกฤษ CEFR2
I30211,โครงงานจีน
I30209,โครงงานอังกฤษ 1
จ30215,ภาษาจีนพื้นฐาน 6
จ30216,ภาษาจีนบริการ2
ว30231,เคมี
อ30231,ภาษาอังกฤษ-สื่อสาร
ว30275,การเขียนโปรแกรม
ว30277,ฐานข้อมูล
จ30217,ภาษาจีนพื้นฐาน1
I 30216,Is
I30212,โครงงานจีน 2
ว20212,ของเล่นวิทยาศาสตร์เช
I30210,โครงงานอังกฤษ 2
ง30225,ศิลปะประดิษฐ์งานไทย
อ33209,อังกฤษฟังพูด
อ30223,ภาษาอังกฤษตามมาตรฐาน
ส30202,ภูมิศาสตร์ท่องเทียว
จ30218,วัฒนธรรมจีน 1
ค21207,คณิต
อ30227,ทักษะเพื่อการสื่อสาร
ชุมนุมPIS,ชุมนุมPISAคณิต
อ30228,ภาษาอังกฤษเพื่ออาชีพ
ส21204,การป้องการทุจริต
จ30220,วัฒนธรรมจีน 2
ค20202,คณิตศาสตร์เพิ่มพูนsm
ค21208,คณิตเพิ่มSMTE
ค21204,คณิตศาสตร์เพิ่มเติม
ว20213,ว.สุขภาพ
ว30232,เคมีอินทรีย์
จ30222,วัฒนธรรมจีน 3
ค22201,คณิตศาสตร์เพิ่มเติม
ค20204,Math in Real Life
ง20222,การใช้ห้องสมุด
ค20203,คณิตศาสตร์เพิ่มพูนSM
ส30204,ใครอยากเป็นเศรษฐี
ง30226,งานหัตถศิลป์
อ22209,อัังกฤษอ่านเขียนMEP
จ30221,จีน
ส23202,การป้องกันการทุจริต
ส32204,การป้องกันการทุจริต
ส33205,การป้องกันการทุจริต
ค22202,คณิตเพิ่มเติม
ส30205,การรักษาผลประโยชน์
ค22207,คณิตศาสตร์เพิ่มเติม
